account_id	loyalty_id	invested_date	initial_value	investor_type	current_value
000003	L167091	04FEB1970	200	Deceased	4600
000005	L139768	03MAY1970	100	Individual	2300
000006	L109714	13JAN1971	200	Deceased	4600
000009	L117001	18JUL1970	500	Group	11500
000010	L66933	20MAR1970	200	Individual	4600
000035	L127902	18MAY1970	500	Deceased	11500
000039	L31331	27APR1970	100	Deceased	2300
000074	L52462	30OCT1970	50	Individual	1150
000084	L51654	12SEP1970	500	Deceased	11500
000085	L45570	10JUL1970	100	Individual	2300
000132	L61665	10DEC1970	500	Individual	11500
000145	L149048	19MAY1970	1000	Deceased	23000
000157	L118320	28JUN1970	500	Deceased	11500
000185	L41333	18NOV1970	200	Deceased	4600
000224	L100942	01APR1970	200	Deceased	4600
000237	L52558	24JUL1970	200	Group	4600
000247	L143639	09MAY1970	1000	Deceased	23000
000283	L119882	28AUG1970	1000	Deceased	23000
000286	L89910	27JUN1970	100	Individual	2300
000288	L44930	20NOV1970	100	Deceased	2300
000291	L130906	02AUG1970	50	Group	1150
000295	L48969	13MAY1970	100	Individual	2300
000309	L38767	03JUN1970	50	Individual	1150
000316	L46544	13MAR1971	200	Group	4500
000331	L56899	03OCT1970	100	Deceased	2300
000363	L27168	25OCT1970	100	Deceased	2300
000369	L158881	20FEB1971	200	Deceased	4500
000384	L122240	30MAY1970	500	Deceased	11500
000400	L87197	01SEP1970	50	Individual	1150
000404	L106744	02OCT1970	200	Deceased	4600
000417	L51063	30APR1970	500	Deceased	11500
000421	L116064	07JAN1971	50	Deceased	1150
000422	L75555	08DEC1970	100	Individual	2300
000430	L56295	13AUG1970	200	Individual	4600
000432	L100590	26MAY1970	200	Individual	4600
000459	L69225	15AUG1970	100	Individual	2300
000460	L27539	09SEP1970	100	Deceased	2300
000468	L119987	12SEP1970	1000	Individual	23000
000471	L99265	13JUL1970	200	Deceased	4600
000475	L109840	04NOV1970	500	Deceased	11500
000484	L36108	01MAR1971	100	Individual	2250
000494	L129778	26JAN1971	200	Deceased	4600
000512	L51921	13DEC1970	1000	Group	23000
000521	L58722	17JUL1970	100	Deceased	2300
000524	L95614	17APR1971	200	Deceased	4500
000533	L116895	26MAR1971	100	Deceased	2250
000543	L108939	06FEB1971	200	Deceased	4500
000560	L55592	21MAR1971	100	Individual	2250
000581	L112752	07SEP1970	1000	Group	23000
000586	L85164	17AUG1970	200	Deceased	4600
000596	L57684	04APR1971	200	Individual	4500
000609	L106156	04DEC1970	100	Individual	2300
000629	L147516	06FEB1971	50	Individual	1125
000630	L47941	06NOV1970	200	Individual	4600
000649	L65330	31MAR1971	200	Deceased	4500
000659	L81601	18DEC1970	200	Individual	4600
000677	L50061	02JUL1971	100	Group	2250
000686	L161850	22JUN1971	200	Group	4500
000694	L53496	25NOV1970	1000	Deceased	23000
000754	L130833	29NOV1970	200	Deceased	4600
000762	L24500	25AUG1970	200	Individual	4600
000796	L146088	19OCT1970	100	Individual	2300
000797	L79653	01SEP1970	50	Deceased	1150
000805	L22628	19AUG1970	100	Individual	2300
000824	L81932	28JUN1971	100	Deceased	2250
000845	L93521	31OCT1970	200	Deceased	4600
000846	L113761	05DEC1970	1000	Deceased	23000
000852	L80356	27FEB1971	100	Deceased	2250
000866	L94373	02AUG1971	100	Group	2250
000867	L136714	05AUG1971	50	Deceased	1125
000898	L125780	29AUG1971	200	Deceased	4500
000910	L92602	13JUN1971	100	Individual	2250
000922	L72581	16FEB1971	1000	Deceased	22500
000942	L112161	13AUG1971	100	Individual	2250
000945	L21661	18FEB1971	100	Individual	2250
000946	L170520	29JUL1971	100	Deceased	2250
000947	L30082	01FEB1971	200	Individual	4500
000962	L89852	30JUN1971	50	Deceased	1125
001012	L128403	30MAY1971	100	Individual	2250
001013	L40711	17JAN1971	100	Deceased	2300
001022	L94972	06APR1971	500	Individual	11250
001056	L61245	16FEB1971	1000	Individual	22500
001057	L80698	02NOV1971	1000	Deceased	22500
001061	L130921	01OCT1971	100	Individual	2250
001065	L29659	21JUL1971	500	Individual	11250
001071	L102662	16OCT1971	100	Individual	2250
001091	L169241	25JUL1971	100	Individual	2250
001102	L160651	30JAN1971	500	Individual	11500
001103	L44403	30JUN1971	1000	Deceased	22500
001107	L50168	19JAN1971	1000	Group	23000
001112	L123060	07DEC1971	200	Individual	4500
001113	L134601	09JUL1971	100	Individual	2250
001116	L133753	16APR1971	50	Deceased	1125
001131	L93466	15MAR1971	100	Individual	2250
001149	L81916	30APR1971	200	Deceased	4500
001167	L50352	17DEC1971	200	Deceased	4500
001170	L149879	11MAY1971	500	Deceased	11250
001203	L28818	14APR1971	100	Deceased	2250
001216	L63177	29MAY1971	50	Deceased	1125
001217	L71903	22AUG1971	200	Individual	4500
001224	L124301	28APR1971	100	Individual	2250
001229	L91801	05JUN1971	200	Individual	4500
001236	L121978	11MAR1971	200	Deceased	4500
001248	L103912	05JUN1971	200	Deceased	4500
001252	L45064	28MAR1971	500	Individual	11250
001253	L122713	07NOV1971	200	Individual	4500
001258	L158557	08APR1971	500	Individual	11250
001289	L22531	25MAR1971	50	Individual	1125
001290	L163059	06NOV1971	100	Deceased	2250
001313	L34109	11AUG1971	50	Deceased	1125
001318	L96674	08MAY1971	100	Deceased	2250
001321	L24331	29DEC1971	1000	Individual	22500
001326	L42406	05OCT1971	200	Individual	4500
001328	L27481	13OCT1971	200	Deceased	4500
001334	L76329	03AUG1971	500	Deceased	11250
001370	L23348	02NOV1971	500	Deceased	11250
001441	L47545	04JAN1972	200	Individual	4500
